1/31/2018 2:08:41 PM
5.178463,1.040617,5.098702
5.178453,1.040953,5.098115
5.178417,1.04134,5.097405
5.178199,1.041797,5.096722
5.17801,1.042224,5.095897
5.177954,1.042449,5.09491
5.177852,1.042915,5.094208
5.177655,1.043438,5.093409
5.177429,1.043714,5.092573
5.177183,1.044003,5.09192
5.176944,1.044135,5.091465
5.176716,1.044375,5.090944
5.176714,1.044499,5.090432
5.176507,1.044581,5.090262
5.176455,1.044805,5.089906
5.176081,1.04523,5.089772
5.17593,1.045396,5.089619
5.175947,1.045641,5.089523
5.175699,1.045775,5.089409
5.175689,1.045978,5.08941
5.175742,1.046388,5.089911
5.175429,1.046482,5.090019
5.17555,1.046626,5.090721
5.175664,1.046689,5.091129
5.175793,1.046858,5.09188
5.175987,1.046972,5.092751
5.176322,1.047094,5.09364
5.176738,1.047138,5.094747
5.177031,1.047122,5.095877
5.177347,1.047045,5.097037
5.177511,1.046879,5.098042
5.177691,1.046656,5.099255
5.177804,1.046746,5.100478
5.17805,1.046622,5.101487
5.178131,1.046482,5.102335
5.178128,1.046411,5.103271
5.178261,1.046211,5.10406
5.178291,1.046115,5.104607
5.178216,1.045698,5.104961
5.17806,1.045406,5.105282
5.177987,1.045313,5.105497
5.177988,1.044929,5.105669
5.17802,1.044707,5.105867
5.177913,1.044593,5.105963
5.177782,1.044596,5.106201
5.177771,1.0445,5.106287
5.177617,1.044327,5.106467
5.177667,1.044047,5.106324
5.177721,1.044015,5.10642
5.177624,1.044036,5.106469
5.177637,1.044075,5.106528
5.177505,1.044131,5.106598
5.177346,1.04438,5.106512
5.177218,1.044336,5.106489
5.177144,1.044292,5.106538
5.177042,1.044338,5.106378
5.17696,1.044185,5.106377
5.176716,1.044062,5.106533
5.176497,1.04387,5.106874
5.17627,1.043864,5.107233
5.176244,1.043873,5.107653
5.176065,1.043876,5.108028
5.175874,1.043911,5.108552
5.175631,1.043862,5.109052
5.175549,1.043736,5.109794
5.175527,1.043536,5.110443
5.175413,1.04342,5.111194
5.175498,1.04339,5.112039
5.175442,1.043347,5.113142
5.175482,1.043107,5.114069
5.175609,1.042976,5.114853
5.175755,1.042493,5.115629
5.175785,1.042165,5.116489
5.175918,1.041726,5.117476
5.175986,1.041304,5.11831
5.1761,1.041059,5.119315
5.176182,1.040967,5.120056
5.176095,1.04086,5.120939
5.175947,1.040768,5.12174
5.175963,1.040804,5.122404
5.175968,1.040603,5.123054
5.176007,1.040631,5.123813
5.175842,1.040591,5.124607
5.1759,1.040339,5.125185
5.175941,1.040212,5.12588
5.176096,1.040102,5.126454
5.176246,1.039804,5.126882
5.176313,1.039628,5.127439
5.176496,1.039629,5.127862
5.176692,1.039449,5.128329
5.176905,1.039431,5.128914
5.177219,1.039723,5.129162
5.177341,1.03982,5.129376
5.1774,1.039979,5.129718
5.177317,1.040204,5.130089
5.177315,1.040495,5.130324
5.177343,1.040898,5.130538
5.17727,1.04124,5.13087
5.177218,1.041618,5.131251
5.177447,1.041939,5.131671
5.177558,1.042169,5.132036
5.177685,1.042206,5.132274
5.177687,1.04235,5.132687
5.177651,1.042329,5.133253
5.177659,1.042445,5.13367
5.17769,1.042352,5.134205
5.177591,1.042366,5.134591
5.177623,1.042316,5.135018
5.177703,1.042288,5.135535
5.177804,1.042322,5.136045
5.177806,1.042432,5.136634
5.177711,1.042537,5.137164
5.177648,1.042739,5.13758
5.177754,1.042578,5.137833
5.177593,1.042684,5.13815
5.177489,1.04271,5.138628
5.177515,1.04266,5.13904
5.17761,1.042642,5.139452
5.177767,1.042557,5.13983
5.177873,1.042499,5.140197
5.178046,1.042444,5.140351
5.178322,1.042216,5.140523
5.178585,1.041842,5.140448
5.178778,1.041736,5.140499
5.178794,1.041699,5.140471
5.179061,1.041569,5.140356
5.179216,1.041573,5.140212
5.179246,1.041647,5.139917
5.17929,1.041693,5.139455
5.179467,1.041885,5.138886
5.179713,1.041996,5.138299
5.179892,1.042093,5.137561
5.179992,1.042263,5.136964
5.180272,1.042404,5.13638
5.180216,1.042955,5.135922
5.180376,1.043252,5.135325
5.180385,1.043579,5.134706
5.180406,1.043645,5.133882
5.180447,1.043843,5.13333
